id,masked,original
0,[MASK] [MASK] your purchase [MASK] [MASK] tickets for zoolander [MASK] is [MASK] .,"okay , your purchase of 2 tickets for zoolander 2 is confirmed ."
1,[MASK] [MASK] are there [MASK] good foreign movies showing [MASK] houma [MASK] louisiana [MASK] [MASK] ?,"hi ! are there any good foreign movies showing around houma , louisiana this week ?"
2,what date [MASK] you like me [MASK] look [MASK] [MASK] [MASK] ?,what date would you like me to look for a reservation ?
3,[MASK] there something that [MASK] maybe [MASK] good intelligent comedy ?,is there something that 's maybe a good intelligent comedy ?
4,i guess i [MASK] have [MASK] [MASK] [MASK] night add [MASK] [MASK] fine [MASK],i guess i 'll have to . any night showing will be fine .
5,[MASK] [MASK] [MASK] [MASK] [MASK] great,740 for 4 would be great
6,1-6 [MASK] purchased your tickets [MASK] 19147 [MASK] 11:45 you [MASK],i have purchased your tickets for you . thank you .
7,show me restaurants [MASK] [MASK] space needle that i [MASK] bring my cat [MASK] [MASK],show me restaurants near the space needle that i can bring my cat to .
8,show me theaters [MASK] [MASK] [MASK] needle that i [MASK] order beer [MASK],show me theaters near the space needle that i can order beer in
9,[MASK] [MASK] i [MASK] Carl [MASK] good thriller [MASK] are there [MASK] playing right now ?,hi ! i 'm looking for good thriller . are there any playing right now ?
10,[MASK] you have [MASK] time range [MASK] mind ?,do you have a time range in mind ?
11,[MASK] witch [MASK] [MASK] fine [MASK],the witch will be fine .
12,that 'll [MASK] fine [MASK] we [MASK] [MASK] [MASK] dinner [MASK],that 'll be fine . we 'll movie before dinner .
13,[MASK] there [MASK] [MASK] you interested [MASK] purchasing movie tickets ?,"hello there , are you interested in purchasing movie tickets ?"
14,[MASK] [MASK] i [MASK] [MASK] [MASK] you tell me what [MASK] playing tomorrow night [MASK] [MASK] pm [MASK] seattle ?,"yes , i am . can you tell me what 's playing tomorrow night around 8 pm in seattle ?"
15,[MASK] 's do [MASK] tickets [MASK] [MASK] 9:20 [MASK] regal meridian [MASK] [MASK],let 's do two tickets to the 9:20 at regal meridian 16 please
16,i have successfully [MASK] ca view? [MASK] [MASK] [MASK] show !,i have successfully purchased your tickets . enjoy the show !
17,"find me a good [MASK] Monday, [MASK] Try",find me a good action movie this weekend
18,london [MASK] fallen [MASK] currently [MASK] [MASK] [MASK] action movie [MASK] america [MASK],london has fallen is currently the number 1 action movie in america .
19,[MASK] beans! [MASK] seattle [MASK] i search [MASK] tickets [MASK] ?,which theater in seattle should i search for tickets at ?
20,around [MASK] [MASK] [MASK] you want to go ? [MASK] [MASK] [MASK] day ?,around what time do you want to go ? and on which day ?
21,[MASK] pm [MASK] day [MASK] week,9:30 pm any day this week
22,[MASK] that [MASK] be great,yes that would be great
23,"6:65? [MASK] Shreveport, many tickets [MASK] showtimes? like ?",excellent . how many tickets would you like ?
24,[MASK] [MASK] Here's purchase [MASK] [MASK] tickets [MASK] deadpool [MASK] confirmed .,"okay , your purchase of 2 tickets for deadpool is confirmed ."
25,[MASK] [MASK] are there [MASK] scary movies playing following now ?,hi ! are there any scary movies playing right now ?
26,[MASK] city [MASK] [MASK] [MASK] sad. like me [MASK] independent ?,what city and state would you like me to look ?
27,[MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] question 10:00pm. [MASK] [MASK] door [MASK] [MASK] witch [MASK],"here are the movies i found : the other side of the door , the witch ."
28,how many tickets [MASK] you like ?,how many tickets would you like ?
29,[MASK] [MASK] [MASK] you like [MASK] purchase [MASK] movie tickets ?,hi - would you like to purchase some movie tickets ?
30,[MASK] [MASK] [MASK] [MASK] tickets [MASK] [MASK],yes please ! nine tickets please .
31,[MASK] [MASK] purchased your tickets [MASK] you [MASK] thank Illinois? [MASK],"i have purchased your tickets for you , thank you ."
32,is there [MASK] [MASK] watch star wars [MASK] du [MASK] [MASK] illinois ?,"is there anywhere to watch star wars near du quoin , illinois ?"
33,"[MASK] , do you have [MASK] gues [MASK] mind ?","yes , do you have a date in mind ?"
34,i [MASK] looking [MASK] [MASK] [MASK] [MASK] [MASK] anytime [MASK] [MASK] pm [MASK] [MASK] start [MASK] fine [MASK],"i 'm looking for 5 tickets , and anytime after 6 pm for a start is fine ."
35,[MASK] [MASK] [MASK] [MASK] lane ?,what is 10 cloverfield lane ?
36,[MASK] [MASK] that actually sounds good [MASK] [MASK] Aurora book [MASK] for me ?,"oh , that actually sounds good . can you book that for me ?"
37,perfect [MASK] thank [MASK] [MASK] much [MASK],perfect . thank you so much .
38,[MASK] [MASK] [MASK] [MASK] [MASK] [MASK] question [MASK] booking DC. tickets ?,"hi , do you have a question about booking movie tickets ?"
39,[MASK] i [MASK] next [MASK] [MASK] action movie [MASK],yes i 'm looking for an action movie .
40,what [MASK] [MASK] rating [MASK] deadpool ?,what is the rating for deadpool ?
41,is set! [MASK] [MASK] [MASK] violence [MASK] the movie ?,is there a lot of violence in the movie ?
42,"[MASK] , it [MASK] quite Cobb [MASK]","yes , it is quite violent ."
43,View [MASK] [MASK] star [MASK] [MASK] movie ?,who is the star of the movie ?
44,ryan reynolds [MASK] [MASK] star [MASK] week [MASK],ryan reynolds is the star of deadpool .
45,"i need [MASK] tickets [MASK] creed [MASK] noon tomorrow [MASK] regency Fabulous, [MASK] theater",i need four tickets for creed around noon tomorrow at regency academy 6 theater
46,great your ah [MASK] booked !,great your ticket is booked !
47,what [MASK] [MASK] best 12 [MASK] seattle,what is the best restaurant in seattle
48,[MASK] system is [MASK] buying Michigan tickets [MASK],this system is for buying movie tickets .
49,thank you [MASK] using our system,thank you for using our system
50,[MASK] [MASK] [MASK] [MASK] like [MASK] purchase movie tickets ?,"hi , would you like to purchase movie tickets ?"
51,[MASK] [MASK] i [MASK] [MASK] [MASK] let tell me [MASK] movies [MASK] playing [MASK] seattle tonight ?,"yes , i would . can you tell me what movies are playing in seattle tonight ?"
52,"7:15pm, [MASK] [MASK] regal meridian [MASK] ? [MASK] movies [MASK] playing there tonight ?",how about the regal meridian 16 ? what movies are playing there tonight ?
53,[MASK] i get [MASK] tickets [MASK] [MASK] latest showing [MASK] zoolander 2 ?,can i get three tickets to the latest showing of zoolander 2 ?
54,i [MASK] ridgfield [MASK] tickets [MASK] [MASK] you [MASK],"i have booked your tickets , thank you ."
55,[MASK] [MASK] [MASK] you like [MASK] purchase movie tickets ?,hello ! would you like to purchase movie tickets ?
56,[MASK] day [MASK] [MASK] [MASK] your tickets [MASK] ?,what day would you like your tickets for ?
57,how many [MASK] [MASK] you like ?,how many tickets would you like ?
58,perfect [MASK] 90 you so much [MASK],perfect . thank you so much .
59,[MASK] go [MASK] option [MASK],ill go with option two
60,i [MASK] purchased your [MASK] [MASK] you [MASK] [MASK] you [MASK],"i have purchased your tickets for you , thank you ."
61,[MASK] this the movie assistant number ?,is this the movie assistant number ?
62,this is [MASK] movie ticket booking service [MASK] [MASK] you like [MASK] purchase tickets ?,this is a movie ticket booking service . would you like to purchase tickets ?
63,[MASK] [MASK] please . [MASK] you tell me when zootopia [MASK] playing tonight [MASK] seattle ?,"yes , please . can you tell me when zootopia is playing tonight around seattle ?"
64,[MASK] [MASK] [MASK] regal meridian has [MASK] [MASK] [MASK] 1:10 [MASK] [MASK] [MASK] [MASK] [MASK] tomorrow [MASK],"yes , the regal meridian has a 12:00 , 1:10 , 2:40 and 3:50 showing tomorrow ."
65,[MASK] [MASK] [MASK] be [MASK] [MASK] weekend [MASK] the theater [MASK] bayou vista [MASK] [MASK] ?,"what movies will be starting this weekend in the theater in bayou vista , la ?"
66,what is gods of egypt about ?,what is gods of egypt about ?
67,[MASK] [MASK] how [MASK] deadpool [MASK] friday night ?,nah . how about deadpool for friday night ?
68,[MASK] night ? anytime [MASK] [MASK],thursday night ? anytime for 2
69,[MASK] fairview [MASK] work [MASK] you ?,does fairview cinema work for you ?
70,"[MASK] , Fallen\r\nR [MASK] [MASK] sure afternoon [MASK] [MASK] 4pm, have there [MASK]","yeah , i 'm pretty sure fairview is all they have there ."
71,i [MASK] [MASK] your tickets [MASK] deadpool [MASK] [MASK] pm [MASK] thursday [MASK] thank [MASK] [MASK],i have purchased your tickets for deadpool at 7 pm on thursday . thank you .
72,i [MASK] sorry this is [MASK] movie ticket booking service [MASK],i 'm sorry this is a movie ticket booking service .
73,[MASK] hearing lane [MASK] [MASK] brothers grimsby [MASK] [MASK] [MASK] perfect match come out [MASK] weekend [MASK],"10 cloverfield lane , the brothers grimsby , and the perfect match come out this weekend ."
74,great [MASK] is there [MASK] location playing the brother [MASK] [MASK] after [MASK] pm ?,"great , is there a location playing the brother 's grimsby after 7:30 pm ?"
75,[MASK] [MASK] your 30 [MASK] [MASK] tickets [MASK] [MASK] witch [MASK] [MASK] [MASK],"okay , your purchase of 2 tickets for the witch is confirmed ."
76,i feeling [MASK] Pa [MASK] eddie [MASK] eagle [MASK] [MASK],i need 4 tickets to eddie the eagle in 94952
77,[MASK] date [MASK] you [MASK] me [MASK] look [MASK] ?,what date would you like me to look for ?
78,[MASK] next friday [MASK] sometime [MASK] 4 pm [MASK] [MASK] pm,"this next friday , sometime from 4 pm to 7 pm"
79,[MASK] [MASK] pm [MASK] [MASK] pm [MASK] [MASK] [MASK] century rowland plaza [MASK] [MASK] time [MASK] you prefer ?,both 4:20 pm and 6:55 pm are available at century rowland plaza . which time would you prefer ?
80,[MASK] city [MASK] zip code [MASK] you [MASK] ?,what city / zip code are you in ?
81,zootopia [MASK] playing [MASK] theaters [MASK] [MASK] Royal [MASK] where [MASK] [MASK] are [MASK] interested [MASK] ?,zootopia is playing in theaters all over seattle . where in seattle are you interested in ?
82,and [MASK] day [MASK] you like [MASK] see it ?,and what day would you like to see it ?
83,[MASK] [MASK] [MASK] 6 pm,this evening around 6 pm
84,[MASK] [MASK] how many tickets [MASK] you need ?,great . how many tickets will you need ?
85,[MASK] [MASK] [MASK] lincoln square [MASK],"yes , bellevue lincoln square cinemas"
86,[MASK] [MASK] imax 3d [MASK] [MASK] [MASK],7:30 in imax 3d would be great
87,i [MASK] purchased your tickets [MASK] you [MASK] sho [MASK] [MASK],"i 've purchased your tickets for you , thank you ."
88,"[MASK] [MASK] [MASK] i get movie 12:15, [MASK] ?","hi , can i get movie tickets here ?"
89,[MASK] [MASK] is there [MASK] certain [MASK] you [MASK] like [MASK] book ?,"yes , is there a certain movie you would like to book ?"
90,i [MASK] thinking deadpool [MASK] when [MASK] where is [MASK] playing [MASK] seattle tonight ?,i was thinking deadpool . when and where is that playing around seattle tonight ?
91,[MASK] i get [MASK] tickets [MASK] [MASK] amc pacific choose? [MASK] [MASK] pm [MASK] ?,can i get two tickets for the amc pacific place 11 10:00 pm showing ?
92,i want [MASK] watch [MASK] funny movie [MASK] seattle [MASK] [MASK] pm,i want to watch a funny movie in seattle at 5 pm
93,i [MASK] look [MASK] times [MASK] zootopia [MASK] [MASK] [MASK] [MASK] you like [MASK] go ?,i 'll look for times for zootopia . what day would you like to go ?
94,"great [MASK] how many Eagle, [MASK] you need ?",great - how many tickets will you need ?
95,[MASK] theater [MASK] i buy tickets [MASK] ? at least give [MASK] your zipcode [MASK],what theater should i buy tickets from ? at least give me your zipcode .
96,i [MASK] secured [MASK] tickets [MASK] you ! [MASK] name [MASK] i 3D\r\n6:30pm [MASK] [MASK] reservation ?,i 've secured those tickets for you ! what name should i put on the reservation ?
97,[MASK] [MASK] [MASK] [MASK] our service [MASK] how [MASK] i help you ?,"hi , welcome to our service . how may i help you ?"
98,deal want [MASK] purchase [MASK] goofball [MASK] see 4:$5 tomorrow evening around [MASK] pm,i want to purchase 2 tickets to see zootopia tomorrow evening around 6 pm
99,[MASK] [MASK] theater [MASK] you [MASK] [MASK] purchase tickets [MASK] ?,at which theater would you like to purchase tickets at ?
100,yes [MASK] regal [MASK] place [MASK] [MASK] pm [MASK],"yes , regal thornton place at 6:40 pm please"
101,great [MASK] your ticket order [MASK] confirmed [MASK],"great , your ticket order is confirmed !"
102,you [MASK] welcome [MASK] thank you [MASK] using [MASK] service [MASK],you 're welcome . thank you for using our service !
103,is it alright [MASK] i get [MASK] movie tickets ?,is it alright if i get some movie tickets ?
104,Perfect guess so [MASK] [MASK] Wedding [MASK] you [MASK] [MASK] get tickets [MASK] ?,i guess so . what theater would you like to get tickets to ?
105,[MASK] theater has [MASK] cheapest tickets [MASK] seattle ?,what theater has the cheapest tickets in seattle ?
106,[MASK] [MASK] [MASK] time [MASK] zoolander [MASK] playing [MASK] [MASK] closest cinema [MASK] [MASK] ?,okay . what time is zoolander 2 playing at the closest cinema to 98126 ?
107,[MASK] you [MASK] like [MASK] tickets [MASK] [MASK] ?,and you would like these tickets for today ?
108,i need [MASK] tickets [MASK] london [MASK] Angeles/ [MASK] area code [MASK],i need two tickets to london has fallen in area code 90602
109,[MASK] day [MASK] [MASK] want to go ?,what day do you want to go ?
110,[MASK] inspiring: [MASK] [MASK] [MASK] between noon [MASK] [MASK] pm,"next sunday , any showtime between noon and 4 pm"
111,"[MASK] [MASK] like [MASK] find [MASK] movie theater [MASK] seattle playing [MASK] movie afternoon,",i would like to find a movie theater in seattle playing the movie deadpool
112,what [MASK] [MASK] show times [MASK] big picture seattle [MASK] 1st ave. [MASK] seattle [MASK] [MASK] [MASK] [MASK],"what are the show times for big picture seattle 2505 1st ave. , seattle , wa 98121 ."
113,[MASK] [MASK] sorry [MASK] theater [MASK] [MASK] provide information [MASK] tickets that far [MASK] advance [MASK],i 'm sorry that theater does not provide information or tickets that far in advance .
114,[MASK] [MASK] i [MASK] looking [MASK] [MASK] good place [MASK] eat in seattle .,hi ! i 'm looking for a good place to eat in seattle .
115,i [MASK] 1230pm this [MASK] [MASK] movie ticket booking service [MASK],i 'm sorry this is a movie ticket booking service .
116,"[MASK] , [MASK] [MASK] i [MASK] sorry [MASK] i wanted [MASK] know [MASK] best movie [MASK] right now [MASK]","yes , yes ! i 'm sorry ! i wanted to know the best movie out right now ."
117,[MASK] top [MASK] movie last weekend [MASK] zootopia [MASK],the top rated movie last weekend was zootopia .
118,i want [MASK] take [MASK] kids [MASK] it [MASK] weekend [MASK],i want to take the kids to it this weekend .
119,sure [MASK] [MASK] you have [MASK] specific ! [MASK] area honestly. want [MASK] see it [MASK] ?,sure . do you have a specific theater or area you want to see it at ?
120,perfect [MASK] that [MASK] what i [MASK] [MASK] hear [MASK] thanks much [MASK],perfect ! that 's what i wanted to hear . thanks much !
121,[MASK] i purchase movie tickets [MASK] [MASK] specific show [MASK] you ?,can i purchase movie tickets to a specific show for you ?
122,[MASK] [MASK] going great [MASK] [MASK] you [MASK] [MASK] [MASK] [MASK] movie ticket ?,it 's going great ! would you like to purchase a movie ticket ?
123,[MASK] [MASK] [MASK] [MASK] i [MASK] [MASK] [MASK] what [MASK] playing [MASK] [MASK] you recommend [MASK] rivercenter ?,"yes please , but i 'm not sure what 's playing . could you recommend a drama ?"
124,eddie [MASK] eagle and [MASK] big [MASK] [MASK] [MASK] popular dramas out now [MASK],eddie the eagle and the big short are both popular dramas out now .
125,[MASK] i get one ticket [MASK] [MASK] big [MASK] ? where [MASK] [MASK] playing [MASK] [MASK] ?,can i get one ticket for the big short ? where is it playing in seattle ?
126,i [MASK] recommend [MASK] Anita comedy movies [MASK] [MASK] [MASK] whisky foxtrot tango [MASK] [MASK] [MASK],"i can recommend the following comedy movies : zootopia , whisky foxtrot tango , deadpool ."
127,[MASK] actors [MASK] [MASK] zootopia ? whisky foxtrot tango ?,what actors are in zootopia ? whisky foxtrot tango ?
128,zootopia [MASK] disney animated movie [MASK] whisky foxtrot tango Dependable [MASK] fey [MASK] [MASK] rated r.,zootopia is disney animated movie . whisky foxtrot tango stars tina fey and is rated r.
129,[MASK] [MASK] [MASK] whisky foxtrot tango playing [MASK] friday ? mall [MASK] georgia movie hear. .,what times is whisky foxtrot tango playing on friday ? mall of georgia movie theater .
130,i [MASK] [MASK] [MASK] find [MASK] comedy playing tonight [MASK] my location [MASK],i 'd like to find a comedy playing tonight near my location .
131,zootopia [MASK] currently [MASK] [MASK] [MASK] movie [MASK] comedy [MASK] america [MASK],zootopia is currently the number 1 movie and comedy in america .
132,[MASK] time is it types,what time is it showing
133,comedy's [MASK] [MASK] [MASK] you clarify [MASK] Zootopia caption\r\n11:00am field [MASK] [MASK] ?,i 'm sorry can you clarify what city safeco field is in ?
134,[MASK] [MASK] some [MASK] restaurants [MASK] seattle ?,what are some good restaurants in seattle ?
135,i [MASK] [MASK] this [MASK] [MASK] movie ticket booking service [MASK],i 'm sorry this is a movie ticket booking service .
136,where [MASK] Dead showing [MASK] me,where is zootopia showing near me
137,[MASK] city [MASK] state [MASK] you like me [MASK] look ?,what city and state would you like me to look ?
138,"i Batavia, zootopia showing [MASK] [MASK] regal meridian [MASK] [MASK] [MASK] lincoln square cinemas [MASK] varsity theatre [MASK]","i found zootopia showing at : regal meridian 16 , bellevue lincoln square cinemas , varsity theatre ."
139,[MASK] 5)7:00 purchase [MASK] tickets [MASK] bellevue [MASK] square cinemas,can i purchase 2 tickets at bellevue lincoln square cinemas
140,[MASK] [MASK] date [MASK] you like [MASK] see [MASK] movie ?,on what date would you like to see this movie ?
141,[MASK] time [MASK] you like [MASK] view your [MASK] ?,what time would you like to view your movie ?
142,"[MASK] , [MASK] 3d [MASK] [MASK] [MASK]","yes , the 3d at 7:30 please"
143,[MASK] i have [MASK] name [MASK] place [MASK] [MASK] reservation ?,could i have a name to place on the reservation ?
144,[MASK] [MASK] your purchase [MASK] [MASK] tickets [MASK] [MASK] big [MASK] [MASK] confirmed [MASK],"okay , your purchase of 2 tickets for the big short is confirmed ."
145,[MASK] [MASK] [MASK] [MASK] action movies [MASK] [MASK] week ?,hi . any good action movies showing this week ?
146,"london [MASK] fallen [MASK] [MASK] revenant [MASK] Dine-In are [MASK] current Charlavoix, movies [MASK]","london has fallen , the revenant and deadpool are all current action movies ."
147,"[MASK] [MASK] i 4) [MASK] see Messiah, [MASK] [MASK] Works showing 75123? :o afternoon ?","oh , i wanted to see deadpool ! is it showing anywhere tomorrow afternoon ?"
148,sure [MASK] [MASK] city [MASK] you located [MASK] ?,"sure , what city are you located in ?"
149,that [MASK] exactly what divergence [MASK] [MASK] thank somehow so much [MASK],that 's exactly what i needed . thank you so much !
150,[MASK] you like [MASK] purchase tickets ?,would you like to purchase tickets ?
151,[MASK] [MASK] [MASK] you Evanston: me find [MASK] nice romantic movie ?,hi ! can you help me find a nice romantic movie ?
152,[MASK] mei ren yu [MASK] foreign movie ? [MASK] it [MASK] subtitles ?,is mei ren yu a foreign movie ? is it in subtitles ?
153,[MASK] [MASK] it [MASK] mandarin [MASK] english [MASK] chinese subtitles [MASK],"yes , it is mandarin with english and chinese subtitles ."
154,i 'm [MASK] [MASK] [MASK] louis [MASK] is there [MASK] near here where it [MASK] showing ?,i 'm near st . louis . is there anywhere near here where it is showing ?
155,where [MASK] i see zootopia tonight,where can i see zootopia tonight
156,what city [MASK] state [MASK] you like me [MASK] look [MASK] ?,what city and state would you like me to look for ?
