keyword,label
new i,1
i bought new,1
new bought i,1
i new bought,1
bought i iphone,1
i iphone,1
that m good,2
not m,2
m i,2
very not good,2
that i,2
you very that,2
i i student,3
i student i,3
college i student,3
i college,3
college i college,3
college i college,3
i go,4
donations i gym,4
live go donations,4
go gym donations,4
i donations go,4
donations gym,4
midwest i,5
midwest i,5
vegan i,5
vegan i midwest,5
vegan i i,5
i vegan,5
meat they maybe told cheap dogs insted,6
may salads i,6
salads i they told maybe i meat insted cheap may,6
dogs i i may vegan insted salads told maybe cheap,6
salads i dogs i cheap may eat vegan,6
cheap insted may,6
would i,7
would me,7
hard them not,7
them me mind,7
mind office me,7
would not,7
office dogs,8
office ? dogs,8
vegan ? office,8
dogs vegan,8
dogs vegan office,8
office vegan,8
vegetarian i,9
vegan i,9
i i,9
vegetarian vegan,9
i vegetarian i,9
i vegetarian vegan,9
ps with,11
experience know i,11
what know,11
guess experience i,11
with what do,11
not know,11
you what,15
you what,15
do what ?,15
do do ?,15
? you,15
do do,15
paint love,16
love painting,16
painting paint,16
love i i,16
love painting paint,16
love painting,16
ceremony i school left school,20
entrance municipal junior home junior school year school,20
junior next dorms ceremony home entrance school,20
school live municipal i junior next dorms home left,20
municipal left ceremony,20
school left ceremony high i entrance year junior home,20
hello you,27
? you,27
how you hello,27
how hello,27
? you,27
? how,27
football song,31
ball oldest football,31
city ball,31
world city song,31
world ball,31
city oldest,31
? what,32
? ’s up,32
what ?,32
what ?,32
? up ’s,32
? what,32
you how,33
you thank you,33
you you how,33
you how you,33
you you thank,33
you thank how,33
test end type,35
get test,35
try test state,35
text type get,35
type end test,35
test please,35
get end test,38
end type,38
end type test,38
test try text,38
reset state try,38
please end test,38
state test end,41
state type,41
get type,41
try text state,41
reset type,41
text get,41
text type please,44
please end text,44
get text reset,44
test end state,44
end type,44
get reset text,44
m enineer,47
i m,47
my recording,47
recording studio m,47
my studio,47
i m enineer,47
you from,48
from you ?,48
from ?,48
you where,48
? from,48
you from ?,48
told his i,50
i sold condo,50
condo i his,50
his i told,50
i condo his,50
condo i,50
m uh i,53
mother m,53
m i uh,53
m susans,53
susans mother,53
i m,53
i edie,55
talk i i,55
edie i,55
i edie,55
edie um talk,55
edie talk,55
where live,56
live do,56
do where,56
live you where,56
where you,56
live ? do,56
i new m,57
building house m,57
i i new,57
building i,57
house building new,57
new i,57
i new,60
york new,60
york go i,60
york go,60
new i,60
york go i,60
like rock climbing,61
i like,61
climbing i like,61
like i,61
rock i,61
i like,61
of lines along,62
uh of,62
more thinking,62
of more,62
more of,62
uh along,62
like do,64
you what do,64
you do,64
you like,64
do what,64
what do like,64
cyprus ?,66
i m cyprus,66
cyprus i,66
cyprus m ?,66
? i,66
i cyprus ?,66
someth native you,71
you ?,71
what you ?,71
what ?,71
native ?,71
ing ? what,71
action i movies,72
i movies,72
movies i movies,72
movies action,72
like i,72
movies i movies,72
my them likes,73
brother too,73
my them,73
too brother likes,73
them my,73
likes my,73
siblings you do,74
? you siblings,74
siblings you,74
you do,74
siblings do ?,74
do you,74
good i,76
music good,76
good i,76
listening good,76
good i listening,76
i music good,76
what kind music,77
? music what,77
what music,77
kind music,77
music ? kind,77
? kind,77
country country jazz,78
music country country,78
music country jazz,78
country jazz music,78
country country,78
jazz country music,78
do dogs you,79
you dogs,79
you ?,79
do dogs,79
dogs you do,79
? dogs do,79
dogs yes,80
i two,80
i yes,80
dogs cat,80
i yes,80
yes two cat,80
i cool,81
dogs i cool,81
cool dogs i,81
i love cool,81
cool i,81
love dogs,81
i sister,83
two sister brothers,83
sister brothers,83
two i sister,83
brothers i,83
brothers i sister,83
where do ?,84
where you,84
where do live,84
where you do,84
? where,84
where live,84
from i you,87
alabama from,87
? from i,87
from ?,87
? where from,87
i ?,87
do you,89
you want what,89
say ?,89
me what say,89
me do,89
me you say,89
i cars,94
i like my,94
i money like,94
my money cars,94
money like i,94
i spend,94
ve i steady,95
never ve steady,95
steady i never,95
steady never,95
never steady relationfish,95
relationfish steady,95
watch too windows,96
windows i,96
much watch,96
peoples i,96
too tv watch,96
i peoples,96
i go,97
days i go,97
i gym,97
days go,97
i go days,97
i days,97
dog dog i,102
  animals,102
love  ,102
i dog,102
  dog love,102
  i,102
  not say i i  ,104
i see say not,104
see   say   black i   i,104
i see not not   say black i sure i,104
see i sure i  ,104
not   say,104
sports i,105
i sports american,105
sports i enjoy,105
i american enjoy,105
american enjoy sports,105
enjoy american i,105
cool  ,106
dancer   ?,106
  teacher,106
  i i,106
    ?,106
i  ,106
working i company,107
years company,107
company i years,107
i company,107
years i working,107
company working years,107
not black it i,108
i sure i belt not black  ,108
belt not i it black    ,108
fan it   not i   sure black,108
belt black sure it fan i i   i not,108
i i sure fan not  ,108
coffee like  ,111
  i too,111
coffee coffee i,111
i like coffee,111
too  ,111
  like like,111
books reading i,112
drinking like i,112
like books reading,112
reading tea,112
tea books,112
i reading,112
i red reminds time i like hate it me,113
like i summer reminds,113
time i summer which me like it i red reminds,113
i   which   like,113
me summer which   reminds hate   i like red,113
summer which time reminds it i,113
? it,114
it ?,114
it it,114
hate it,114
like you,114
it like it,114
i   like,115
i like,115
bike i,115
bike like,115
like  ,115
  like i,115
live ? where,116
? do,116
? where,116
do live you,116
where do,116
? do,116
  paint draw draw   i   draw,118
like   paint        ,118
    like draw  ,118
  draw paint draw draw draw  ,118
  paint paint   i draw draw  ,118
    paint i draw draw paint,118
paint   draw     like paint i,120
draw     i     draw draw draw  ,120
draw   paint   draw  ,120
paint also paint i,120
paint i like draw like paint draw,120
      also draw  ,120
mountain   also,122
also i,122
like i,122
i bike like,122
i i,122
also bike,122
i unique very,123
i person you,123
very unique i,123
person sure i,123
very sure,123
